Name,Years of experience,Location,City,Consultation Fee,Specialization,Degree
Dr. Mamatha Reddy Y V,14 years experience overall,Koramangala 1 Block,Bangalore,₹800,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology"
Dr. Archana Agarwal,26 years experience overall,Marathahalli,Bangalore,₹700,Gynecologist,"MBBS, DGO, Fellow of Indian College of Obstetrics and Gynecology (FICOG)"
Dr. Vanita Vaishnav,19 years experience overall,HSR Layout,Bangalore,₹600,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology"
Dr. Hira Mardi,24 years experience overall,Whitefield,Bangalore,₹800,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology, MRCOG(UK)"
Dr. Suman Singh,23 years experience overall,BTM Layout 2nd Stage,Bangalore,₹700,Gynecologist,"MBBS, DGO"
Dr. Janani Manoharan,21 years experience overall,Sarjapur Road,Bangalore,₹500,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology"
Dr. Asha Puranikmath,17 years experience overall,Indiranagar,Bangalore,₹800,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, DGO"
Dr. Vidya Muralidhar,14 years experience overall,Hebbal Kempapura,Bangalore,₹500,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology"
Dr. Chetana V,23 years experience overall,Hebbal,Bangalore,₹800,Gynecologist,"DGO, MBBS, DNB - Obstetrics & Gynecology"
Dr. Chaya Patil,27 years experience overall,Bannerghatta Road,Bangalore,₹800,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology"
Dr. M. Gowri,33 years experience overall,HSR Layout,Bangalore,₹700,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology"
Dr. Mala Prakash,38 years experience overall,JP Nagar 6 Phase,Bangalore,₹600,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology"
Dr. Shilpa Apte,23 years experience overall,Jayanagar 5 Block,Bangalore,₹700,Gynecologist,"MS - Obstetrics & Gynaecology, MBBS"
Dr. Radhika kamuni,16 years experience overall,Old Airport Road,Bangalore,₹850,Gynecologist,"MD - Physician, DGO"
Dr. Savitha Shetty,31 years experience overall,Seshadripuram,Bangalore,₹740,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology, MRCOG(UK), Fellow of Indian College of Obstetrics and Gynecology (FICOG)"
Dr. Lakshmi H K,17 years experience overall,Hebbal,Bangalore,₹800,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, Diploma in Advanced Endoscopic Gynae Surgery"
Dr. Ashwini B Gowdra,21 years experience overall,HSR Layout,Bangalore,₹800,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology"
Dr. Shafalika.S.B,20 years experience overall,Yeshwanthpur,Bangalore,₹600,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology"
Dr. Usha B.R.,18 years experience overall,JP Nagar,Bangalore,₹800,Gynecologist,"MD - Obstetrics & Gynaecology, MBBS"
Dr. Aruna Sahadev,21 years experience overall,Rajarajeshwarinagar,Bangalore,₹700,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology"
Dr. Karamjit Kaur,22 years experience overall,Old Airport Road,Bangalore,₹800,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology"
Dr. Anita Balakrishna,23 years experience overall,Indiranagar,Bangalore,₹850,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology"
Dr. Sandya Rani,19 years experience overall,Whitefield,Bangalore,₹800,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology"
Dr. Brunda Channappa,33 years experience overall,Jayanagar,Bangalore,₹850,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology"
Dr. Vijaya Sherbet,32 years experience overall,Hebbal,Bangalore,₹700,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology"
Dr. Gayathri Karthik,34 years experience overall,Old Airport Road,Bangalore,₹850,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology"
Dr. Soumya Lakshmi T V,24 years experience overall,Hebbal,Bangalore,₹850,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology, DGO"
Dr. Ashwini B Gowdra,21 years experience overall,HSR Layout,Bangalore,₹700,Gynecologist,"MBBS, DGO, MRCOG(UK)"
Dr. Regina,53 years experience overall,Banaswadi,Bangalore,₹600,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology"
Dr. Mala Prakash,16 years experience overall,JP Nagar 6 Phase,Bangalore,₹400,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology"
Dr. Shobha Venkat,39 years experience overall,Indiranagar,Bangalore,₹750,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology"
Dr. Kavitha Kovi,14 years experience overall,Whitefield,Bangalore,₹850,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology"
Dr. Kalyani C Reddy,18 years experience overall,HRBR Layout,Bangalore,₹850,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology"
Dr. Manjula S Patil,26 years experience overall,HRBR Layout,Bangalore,₹500,Gynecologist,"MBBS, DGO"
Dr. Sandya Rani,41 years experience overall,Whitefield,Bangalore,₹800,Gynecologist,"MD - Obstetrics & Gynaecology, MBBS"
Dr. M. Gowri,26 years experience overall,HSR Layout,Bangalore,₹700,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology"
Dr. Kavitha Lakshmi Easwaran,20 years experience overall,Kasturi nagar,Bangalore,₹500,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology"
Dr. Kavitha Kovi,23 years experience overall,Whitefield,Bangalore,₹700,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology"
Dr. Kanti sahu,28 years experience overall,Kundalahalli,Bangalore,₹650,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology"
Dr. Sneha Rajiv,13 years experience overall,Bannerghatta Road,Bangalore,₹400,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology"
Dr. Preeti Prabhakar Shetty,19 years experience overall,Nagasandra,Bangalore,₹850,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology"
Dr. Poornima Ramakrishna,23 years experience overall,Koramangala 6 Block,Bangalore,₹600,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology"
Dr. Divyashree PS,17 years experience overall,JP Nagar,Bangalore,₹500,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, DGO"
Dr. Nirmala Shivalingaiah,44 years experience overall,Richmond Town,Bangalore,₹600,Gynecologist,"MD - Obstetrics & Gynaecology, MBBS"
Dr. Bhavana N Ashar,23 years experience overall,HRBR Layout,Bangalore,₹850,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology"
Dr. Anu Joseph,15 years experience overall,Electronics City,Bangalore,₹550,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, Fellow of Indian College of Obstetrics and Gynecology (FICOG), FICS"
Dr. Kumudini Devi,11 years experience overall,Arekere,Bangalore,₹500,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology"
Dr. Payal Mahapatra,17 years experience overall,Old Airport Road,Bangalore,₹700,Gynecologist,"DGO, DNB - Obstetrics & Gynecology"
Dr. Sushma,13 years experience overall,Marathahalli,Bangalore,₹500,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology"
Dr. Chitra Sreenivasa Murthy,22 years experience overall,JP Nagar,Bangalore,₹850,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology"
Dr. Chaithra S K,14 years experience overall,Singasandra,Bangalore,₹550,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology, Fellowship in Urogynecology"
Dr. Latha N,29 years experience overall,Vidyaranyapura,Bangalore,₹500,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology"
Dr. Kishore C Kumtakar,44 years experience overall,Marathahalli,Bangalore,₹500,Gynecologist,"MBBS, MD - Midwifery & Gynecology"
Dr. Thejavathy G. V,33 years experience overall,Whitefield,Bangalore,₹700,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology, DGO"
Dr. Parimala Devi,38 years experience overall,Seshadripuram,Bangalore,₹800,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology"
Dr. Praveena Shenoi,32 years experience overall,Marathahalli,Bangalore,₹900,Gynecologist,"MBBS, DGO"
Dr. Sunita DSouza Lobo,31 years experience overall,Whitefield,Bangalore,₹500,Gynecologist,"MBBS, DGO"
Dr. Vijayalakshmi M,44 years experience overall,Indiranagar,Bangalore,₹800,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology"
Dr. V S Gangarani,34 years experience overall,Indiranagar,Bangalore,₹650,Gynecologist,"MBBS, DGO"
Dr. Pavithra K,12 years experience overall,Malleswaram,Bangalore,₹850,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology"
Dr. Raman Shobana,13 years experience overall,Electronics City,Bangalore,₹850,Gynecologist,"MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology, MBBS, MNAMS - Obstetrics & Gynaecology"
Dr. Kalyani C Reddy,23 years experience overall,HRBR Layout,Bangalore,₹600,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology"
Dr. Suvarna Jyothi G,14 years experience overall,Indiranagar,Bangalore,₹700,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology, DGO"
Dr. Maheshwari,14 years experience overall,Banashankari 1st Stage,Bangalore,₹550,Gynecologist,"MD - Obstetrics & Gynaecology, MBBS"
Dr. Prajual S Hegde,29 years experience overall,Koramangala 6 Block,Bangalore,₹600,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology"
Dr. Nirmala Chandrashekar,15 years experience overall,Kengeri,Bangalore,₹700,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology"
Dr. Lavanya J,20 years experience overall,Bagalakunte,Bangalore,₹300,Gynecologist,"MBBS, DGO"
Dr. Rekha Prashanth,29 years experience overall,Jayanagar 9 Block,Bangalore,₹650,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology"
Dr. Pradeepa,17 years experience overall,BTM Layout 1st Stage,Bangalore,₹600,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology"
Dr. Manisha Singh,32 years experience overall,Bannerghatta Road,Bangalore,₹1100,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology"
Dr. K. Sushmita,21 years experience overall,Sahakaranagar,Bangalore,₹850,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology"
Dr. Dhivya R,19 years experience overall,Singasandra,Bangalore,₹500,Gynecologist,"DGO, DNB - Obstetrics & Gynecology, MBBS"
Dr. Swetha Vinjamuri,18 years experience overall,Thanisandra,Bangalore,₹500,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology"
Dr. Sneha Dhatrak Shetty,13 years experience overall,HSR Layout,Bangalore,₹750,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology"
Dr. Roopa N K,27 years experience overall,Rajarajeshwarinagar,Bangalore,₹500,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology"
Dr. Lakshmi Kumari,21 years experience overall,Electronics City,Bangalore,₹700,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology"
Dr. Poornima Kinila,18 years experience overall,JP Nagar,Bangalore,₹800,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology"
Dr. Anitha Rao,23 years experience overall,Koramangala 1 Block,Bangalore,₹750,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology"
Dr. Shobha N. Gudi,31 years experience overall,Whitefield,Bangalore,₹650,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology"
Dr. Soumya KN,14 years experience overall,Electronics City,Bangalore,₹700,Gynecologist,"MBBS, MRCOG(UK)"
Dr. Shilpa Kava,14 years experience overall,Malleswaram,Bangalore,₹600,Gynecologist,"MBBS, DGO"
Dr. Chaitra Nayak,21 years experience overall,HBR Layout,Bangalore,₹600,Gynecologist,"MBBS, DGO, MD - Physiology"
Dr. Joshitha Naik,22 years experience overall,Rajajinagar,Bangalore,₹700,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology"
Dr. Bharati Kamoji,28 years experience overall,Rajarajeshwarinagar,Bangalore,₹850,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology"
Dr. Namita Kapoor Sahgal,30 years experience overall,Kalyan Nagar,Bangalore,₹800,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, MRCOG(UK)"
Dr. Archana Ramesh,16 years experience overall,Jayanagar,Bangalore,₹600,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology"
Dr. Julie Thomas,24 years experience overall,Yeshwanthpur,Bangalore,₹850,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, MRCOG(UK)"
Dr. Shalini K Mishra,15 years experience overall,Marathahalli,Bangalore,₹600,Gynecologist,"DGO, MBBS"
Dr. Shwetha Y Baratikkae,12 years experience overall,Basaveshwaranagar,Bangalore,₹700,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, Fellow of Indian College of Obstetrics and Gynecology (FICOG)"
Dr. Jayashree Nagraj Bhasgi,22 years experience overall,Richmond Town,Bangalore,₹850,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology"
Dr. Amulya R,42 years experience overall,JP Nagar,Bangalore,₹700,Gynecologist,"DGO, DNB - Obstetrics & Gynecology, MBBS"
Dr. Anitha A Manoj,20 years experience overall,Banashankari 1st Stage,Bangalore,₹550,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology"
Dr. Ankita Gahlot,11 years experience overall,Sarjapur Road,Bangalore,₹850,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology"
Dr. Dhershana Raja,6 years experience overall,Bellandur,Bangalore,₹700,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology"
Dr. Bhargavi Reddy,15 years experience overall,Indiranagar,Bangalore,₹850,Gynecologist,"MBBS, MRCOG(UK)"
Dr. Varini. N,10 years experience overall,Kumara Park West,Bangalore,₹850,Gynecologist,"MBBS, DGO"
Dr. Nandhini Ravindran,30 years experience overall,Ulsoor,Bangalore,₹800,Gynecologist,"MBBS, DGO, MD - Physiology"
Dr. Saba Fathima,15 years experience overall,HRBR Layout,Bangalore,₹850,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology"
Dr. Mukta Nadig,42 years experience overall,Malleswaram,Bangalore,₹850,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology"
Dr. T. M Jyothi Lakshmi,35 years experience overall,Malleswaram,Bangalore,₹850,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, MRCOG(UK)"
Dr. Devi R,9 years experience overall,Banashankari 3rd Stage,Bangalore,₹900,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology"
Dr. Supriya Seshadri,13 years experience overall,Old Airport Road,Bangalore,₹600,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, MRCOG(UK)"
Dr. Vyshnavi A Rao,39 years experience overall,JP Nagar 1 Phase,Bangalore,₹750,Gynecologist,"DGO, MBBS"
Dr. Aparna Patil,12 years experience overall,Whitefield,Bangalore,₹600,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, Fellow of Indian College of Obstetrics and Gynecology (FICOG)"
Dr. Vishnupriya,17 years experience overall,Whitefield,Bangalore,₹700,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology"
Dr. S.Indukala,23 years experience overall,Jayanagar 9 Block,Bangalore,₹500,Gynecologist,"DGO, DNB - Obstetrics & Gynecology, MBBS"
Dr. Roopa R,27 years experience overall,Jayanagar 9 Block,Bangalore,₹500,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology"
Dr. Tejaswini Nayak,28 years experience overall,Koramangala,Bangalore,₹800,Pediatrician,"MBBS, MD - Pediatrics"
Dr. V. Krishnan,32 years experience overall,Whitefield,Bangalore,₹500,Pediatrician,"DNB - Paediatrics, Diploma in Child Health (DCH), MBBS, FNB -  Pediatric Hematology Oncology"
Dr. Sreenath S Manikanti,28 years experience overall,Indiranagar,Bangalore,₹600,Pediatrician,"MD - Physician, Diploma in Child Health (DCH)"
Dr. Sushma V,20 years experience overall,Bellandur,Bangalore,₹650,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Salim A Khatib,42 years experience overall,Jayanagar 5 Block,Bangalore,₹1000,Pediatrician,"MBBS, Diplomate of the American Board of Paediatrics"
Dr. Poonam Shetty,16 years experience overall,Hulimavu,Bangalore,₹700,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Hanumantha Rao K R,15 years experience overall,Hebbal,Bangalore,₹900,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Ravi Kyadegeri,24 years experience overall,Koramangala 6 Block,Bangalore,₹850,Pediatrician,"MBBS, Diploma in Child Health (DCH), MD - Pediatrics"
Dr. Sonal Agrawal,19 years experience overall,Whitefield,Bangalore,₹550,Pediatrician,"MBBS, Diploma in Child Health (DCH)"
Dr. Kushal Kumar,22 years experience overall,HSR Layout,Bangalore,₹800,Pediatrician,"MBBS, DNB - Paediatrics"
Dr. Mohit Singhal,18 years experience overall,Whitefield,Bangalore,₹850,Pediatrician,"MBBS, DNB - Pediatrics"
Dr. Bhakyalakshmi M,20 years experience overall,Old Airport Road,Bangalore,₹600,Pediatrician,"MBBS, MD - Pediatrics, DNB - Neonatology"
Dr. Baliwanth Anandakrishnan,38 years experience overall,JP Nagar 7 Phase,Bangalore,₹600,Pediatrician,"MBBS, DNB - Paediatrics"
Dr. Jayaram Y R,21 years experience overall,Bannerghatta Road,Bangalore,₹900,Pediatrician,"MBBS, Member of the Royal College of Paediatrics and Child Health (MRCPCH, London, Glasgow or Edinburgh)"
Dr. Anjana Hulse,18 years experience overall,Yeshwanthpur,Bangalore,₹800,Pediatrician,"MD - Pediatrics, MBBS"
Dr. Anil M U,21 years experience overall,Whitefield,Bangalore,₹650,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Gurudutta A V,8 years experience overall,Jayanagar 9 Block,Bangalore,₹500,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Dhanya Soodhana,13 years experience overall,Thanisandra,Bangalore,₹1050,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Lokanadha Reddy,24 years experience overall,HSR Layout,Bangalore,₹850,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Shalini G Agasthi,17 years experience overall,Sarjapur Road,Bangalore,₹700,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Avinash Shanbhogh,9 years experience overall,Rajajinagar,Bangalore,₹700,Pediatrician,"Fellow of the Royal College of Pediatrics and Child Health (UK), MBBS, Diploma in Child Health (DCH - UK)"
Dr. Rujuta Kulkarni,22 years experience overall,Akshaya nagar,Bangalore,₹600,Pediatrician,"MBBS, Diploma in Child Health (DCH)"
Dr. Sheetal S,29 years experience overall,Old Airport Road,Bangalore,₹700,Pediatrician,"MBBS, Diploma in Child Health (DCH)"
Dr. Santosh N,15 years experience overall,Old Airport Road,Bangalore,₹650,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Richard Lurshay,12 years experience overall,Whitefield,Bangalore,₹650,Pediatrician,"MBBS, DNB - Paediatrics"
Dr. Shashidhar A,24 years experience overall,Old Airport Road,Bangalore,₹850,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Sowmya Prashanth,23 years experience overall,Bannerghatta Road,Bangalore,₹650,Pediatrician,"MBBS, MD - Pediatrics"
Dr. P Sameera Reddy,24 years experience overall,Arekere,Bangalore,₹500,Pediatrician,"MBBS, Diploma in Child Health (DCH), DNB - Paediatrics"
Dr. Sateesha S.R,15 years experience overall,Jayanagar,Bangalore,₹850,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Poonam Prakash Kamble,18 years experience overall,Jayanagar,Bangalore,₹600,Pediatrician,"MBBS, MD - Pediatrics"
Dr. C P Ravi Kumar,18 years experience overall,Bellandur,Bangalore,₹500,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Mohit Singhal,11 years experience overall,HSR Layout,Bangalore,₹800,Pediatrician,"MBBS, MD - Pediatrics"
Dr. K Suresh Gowda,12 years experience overall,Marathahalli,Bangalore,₹750,Pediatrician,"MBBS, Diploma in Child Health (DCH)"
Dr. Hariram M R,16 years experience overall,Koramangala 6 Block,Bangalore,₹850,Pediatrician,"MBBS, Diploma in Child Health (DCH), DNB - Paediatrics"
Dr. Sateesha S.R,12 years experience overall,Banashankari,Bangalore,₹800,Pediatrician,"MBBS,  FRCP, Member of the Royal College of Paediatrics and Child Health (MRCPCH, London, Glasgow or Edinburgh)"
Dr. Naveen R B,20 years experience overall,Bannerghatta Road,Bangalore,₹750,Pediatrician,"MBBS, MD - Pediatrics"
Dr. S. D. Subba Rao,18 years experience overall,Hebbal,Bangalore,₹300,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Sowmya Prashanth,20 years experience overall,Yeshwanthpur,Bangalore,₹650,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Shilpa Dinesh,9 years experience overall,Rajajinagar,Bangalore,₹850,Pediatrician,"MD - Pediatrics, MBBS"
Dr. Shaila S Bhattacharyya,14 years experience overall,Koramangala 5 Block,Bangalore,₹850,Pediatrician,"MBBS, Diploma in Child Health (DCH), MRCP (UK)"
Dr. Ganesh Kamath M,17 years experience overall,Sarjapur Road,Bangalore,₹400,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Sagar Sharma H S,20 years experience overall,Horamavu,Bangalore,₹400,Pediatrician,"MBBS, Diploma in Child Health (DCH)"
Dr. Mallesh U,25 years experience overall,Sarjapur Road,Bangalore,₹500,Pediatrician,"MBBS, MD - Anaesthesiology, Diploma in Paediatrics"
Dr. Mithilesh Kumar,17 years experience overall,Bannerghatta Road,Bangalore,₹500,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Ragavan P S,14 years experience overall,Bannerghatta Road,Bangalore,₹850,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Radhakrishna Hegde,32 years experience overall,Marathahalli,Bangalore,₹450,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Chandrika S Bhat,25 years experience overall,Jayanagar 4 Block,Bangalore,₹500,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Surender S,30 years experience overall,Bannerghatta Road,Bangalore,₹300,Pediatrician,"MBBS, Diploma in Child Health (DCH), DNB - Paediatrics"
Dr. Saravanan,23 years experience overall,Rajajinagar,Bangalore,₹750,Pediatrician,"MBBS, DNB - Paediatrics"
Dr. Shilpa Dinesh,18 years experience overall,Bannerghatta Road,Bangalore,₹800,Pediatrician,"MBBS, Diploma in Child Health (DCH), DNB - Pediatrics"
Dr. Shwetha S Rao,34 years experience overall,Bannerghatta Road,Bangalore,₹1000,Pediatrician,"MBBS, MD - Pediatrics, FRCPCH"
Dr. Nancy Austine,18 years experience overall,Millers Road,Bangalore,₹800,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Mohan D Mahendrakar,13 years experience overall,Kundalahalli,Bangalore,₹600,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Sreerekha KB,23 years experience overall,Bannerghatta Road,Bangalore,₹1250,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Ramesh Sungal,27 years experience overall,Hebbal,Bangalore,₹800,Pediatrician,"MBBS, MD - Pediatrics, DM - Neonatology"
Dr. Raghuram C P,23 years experience overall,Bannerghatta Road,Bangalore,₹1000,Pediatrician,"MBBS, Diploma in Child Health (DCH), DNB - Paediatrics"
Dr. Sushanth Shivaswamy,15 years experience overall,Whitefield,Bangalore,₹700,Pediatrician,"MBBS, MD - Pediatrics"
Dr. N Kavitha Bhat,29 years experience overall,Hebbal,Bangalore,₹1000,Pediatrician,"MBBS, Diploma in Child Health (DCH)"
Dr. Arul Selvi,17 years experience overall,Indiranagar,Bangalore,₹700,Pediatrician,"MD - Pediatrics, MBBS"
Dr. Stalin Ramprakash,23 years experience overall,Hebbal,Bangalore,₹850,Pediatrician,"MD - Pediatrics, MBBS"
Dr. Jyothi Raghuram,19 years experience overall,Indiranagar,Bangalore,₹550,Pediatrician,"MBBS, DNB - Paediatrics"
Dr. Prathap Chandra,24 years experience overall,Mahadevapura,Bangalore,₹800,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Shilpa Pandya,10 years experience overall,Yeshwanthpur,Bangalore,₹900,Pediatrician,"MBBS, MD - Pediatrics, DNB - Paediatrics"
Dr. Shalini Sharma,18 years experience overall,HBR Layout,Bangalore,₹800,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Alla Sreekanth Reddy,22 years experience overall,Bannerghatta Road,Bangalore,₹800,Pediatrician,"MBBS, MD - Pediatrics, Fellowship in Neonatology"
Dr. Hariram M R,43 years experience overall,Old Airport Road,Bangalore,₹600,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Ilin Kinimi,25 years experience overall,Hebbal,Bangalore,₹800,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Harish Kumar,16 years experience overall,Whitefield,Bangalore,₹700,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Anand Patil,12 years experience overall,Whitefield,Bangalore,₹500,Pediatrician,"MBBS, Member of the Royal College of Paediatrics and Child Health (MRCPCH, London, Glasgow or Edinburgh)"
Dr. Leenatha Reddy N,11 years experience overall,Bannerghatta Road,Bangalore,₹850,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Yogesh Kumar Gupta,18 years experience overall,Jayanagar,Bangalore,₹650,Pediatrician,"MBBS, Diploma in Child Health (DCH)"
Dr. Raghunath C.N,25 years experience overall,Sarjapur Road,Bangalore,₹750,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Vidisha Kumari,17 years experience overall,Bellandur,Bangalore,₹850,Pediatrician,"MBBS, MD - Pediatrics, DNB - Neonatology"
Dr. Deepti T Nair,23 years experience overall,Sarjapur Road,Bangalore,₹800,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Sumedha Gandotra,17 years experience overall,Old Airport Road,Bangalore,₹500,Pediatrician,"MBBS, MD - Pediatrics, DNB - Neonatology"
Dr. ANJANA BHADRA CHOUDHURY,40 years experience overall,Bellandur,Bangalore,₹850,Pediatrician,"MBBS, DNB - Paediatrics, Post Doctoral fellowship in Pediatric Critical Care Medicine"
Dr. Lakshmi Menon,26 years experience overall,Bannerghatta Road,Bangalore,₹1000,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Ashok M.V,21 years experience overall,Marathahalli,Bangalore,₹750,Pediatrician,"MBBS, Diploma in Child Health (DCH), MD - Pediatrics"
Dr. Rajaram,11 years experience overall,Indiranagar,Bangalore,₹700,Pediatrician,"MBBS, Diploma in Child Health (DCH)"
Dr. Deepa Mohan Sharma,15 years experience overall,Hebbal,Bangalore,₹1000,Pediatrician,"MBBS, MD - Pediatrics, DM - Neonatology"
Dr. Ravi Kyadegeri,20 years experience overall,Kasavanahalli,Bangalore,₹1100,Pediatrician,"DNB - Paediatrics, MBBS"
Dr. Srinivasa Murthy C L,18 years experience overall,Marathahalli,Bangalore,₹400,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Rajaram,18 years experience overall,Yeshwanthpur,Bangalore,₹800,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Paras Kumar J,11 years experience overall,Bannerghatta Road,Bangalore,₹700,Pediatrician,"MBBS, MD - Pediatrics"
Dr. Saravanan,12 years experience overall,Yelahanka,Bangalore,₹850,Pediatrician,"MBBS, Diploma in Child Health (DCH), DNB - Paediatrics"
Dr. Chitra Sankar,13 years experience overall,Hebbal,Bangalore,₹750,Pediatrician,"MBBS, DNB - Paediatrics"
Dr. Nagaraj S,13 years experience overall,Whitefield,Bangalore,₹450,Pediatrician,"MBBS, MD - Pediatrics, FNB - Pediatric Intensive Care"
