,Name,Years of experience,Location,City,Consultation Fee,Specialization,Degree
639,Dr. Ankur Arya,13,Pusa Road,Delhi,1200,Urologist,"MBBS, MS - General Surgery, MCh - Urology, Fellowship in Laparoscopic and Robotic Surgical Oncology"
640,Dr. Rajat Arora,19,Shalimar Bagh,Delhi,600,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
641,Dr. Rohit Kaushal,15,Saket,Delhi,800,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
642,Dr. Vishal Dutt Gour,21,Greater Kailash Part 1,Delhi,1500,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
643,Dr. Anant Kumar,43,Saket,Delhi,2000,Urologist,"MCh - Urology, MBBS, MS - General Surgery"
644,Dr. Gaurav Garg,12,Saket,Delhi,1000,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery"
645,Dr. Ruchir Maheshwari,22,Saket,Delhi,1200,Urologist,"MCh - Urology, MS - General Surgery, MBBS"
646,Dr. Anurag Puri,17,Vasant Kunj,Delhi,1000,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery"
647,Dr. Rajinder Yadav,50,Shalimar Bagh,Delhi,1500,Urologist,"MCh - Urology, MS - General Surgery, MBBS"
648,Dr. Yashdeep Rustagi,15,Shalimar Bagh,Delhi,800,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery"
649,Dr. Arun Antony,14,Vikas Puri,Delhi,1000,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
650,Dr. Piyush Varshney,20,Vasundhra Enclave,Delhi,600,Urologist,"MBBS, Diploma in Urology"
651,Dr. Waheedu Zaman,29,Rohini,Delhi,900,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
652,Dr. Harbinder Singh,19,Rohini Sector 3,Delhi,800,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery, DNB - Urology/Genito - Urinary Surgery, MNAMS - Urology"
653,Dr. Rajesh Taneja,37,Sarita Vihar,Delhi,1500,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
654,Dr. Samit Chaturvedi,20,Vasant Kunj,Delhi,1200,Urologist,"MBBS, MS - General Surgery, Diploma in Urology"
655,Dr. Anish Kumar Gupta,18,Saket,Delhi,800,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery"
656,Dr. Vikas Jain,23,Safdarjung Enclave,Delhi,1500,Urologist,"MS - General Surgery, DNB - Urology/Genito - Urinary Surgery, MBBS"
657,Dr. Harwinder Singh Chauhan,27,Patparganj,Delhi,800,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery"
658,Dr. Suresh K Rawat,43,Patparganj,Delhi,1500,Urologist,"MBBS, MS - General Surgery, Diploma in Urology"
659,Dr. Ajit Saxena,36,Dwarka Sector 12,Delhi,2000,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery"
660,Dr. Anshuman Agarwal,27,Sarita Vihar,Delhi,1500,Urologist,"MBBS, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery"
661,Dr. Ashish Sabharwal,19,Shalimar Bagh,Delhi,1500,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery"
662,Dr. Aditya Pradhan,28,Sarita Vihar,Delhi,1500,Urologist,"MS - General Surgery, DNB - Urology/Genito - Urinary Surgery, MBBS"
663,Dr. Vipin Arora,36,Shalimar Bagh,Delhi,1500,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery"
664,Dr. Anjani Kumar Agrawal,28,Saket,Delhi,1800,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
665,Dr. Sanjay Gogoi,25,Dwarka Sector 6,Delhi,1100,Urologist,"DNB - Urology/Genito - Urinary Surgery, MBBS, MS - General Surgery"
666,Dr. Anil Kumar Gulia,24,Okhla,Delhi,1500,Urologist,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery, MCh - Urology"
667,Dr. Anupam Bhargava,34,Saket,Delhi,2200,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
668,Dr. B L Bhan,56,Kilokri,Delhi,700,Urologist,"MCh - Urology/Genito-Urinary Surgery, MS - General Surgery, MBBS"
669,Dr. S K Pal,43,Greater Kailash Part 1,Delhi,1500,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
670,Dr. Chandrakant Kar,25,Dwarka,Delhi,600,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
671,Dr. Rohit Juneja,12,Paschim Vihar,Delhi,700,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
672,Dr. Vimal Dassi,19,Patparganj,Delhi,1000,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery"
673,Dr. Yajvender Pratap Singh Rana,19,Pusa Road,Delhi,1200,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery"
674,Dr. Swatantra Rao,23,Vasant Vihar,Delhi,1000,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery, DNB - Urology/Genito - Urinary Surgery"
675,Dr. Pawan Kesarwani,34,Patparganj,Delhi,1000,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery"
676,Dr. (Prof.) Nayan Kumar,22,Safdarjung Enclave,Delhi,1000,Urologist,"MBBS, MS - General Surgery, MCh - Urology, DNB - Urology/Genito - Urinary Surgery"
677,Dr. Shailesh Chandra Sahay,36,Patparganj,Delhi,1200,Urologist,"MCh - Urology, MBBS, MS - General Surgery"
678,Dr. Pankaj Gaur,43,Patparganj,Delhi,1000,Urologist,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery"
679,Dr. Mayank Gupta,15,Patparganj,Delhi,1000,Urologist,"MBBS, MS - General Surgery, MCh - Urology, DNB - Urology/Genito - Urinary Surgery"
680,Dr. Vijay Kumar,31,Saket,Delhi,1800,Urologist,"MCh - Urology, DNB - General Surgery, MBBS"
681,Dr. Paras Singhal,20,Mayur Vihar Ph-I,Delhi,800,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
682,Dr. Ashutosh Kumar,10,Safdarjung Enclave,Delhi,1200,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
683,Dr. Kunwara Vishal Singh,10,Safdarjung Enclave,Delhi,1200,Urologist,"MBBS, MS - General Surgery, MCh - Urology"
684,Dr. (Lt Gen) CS Narayanan,43,Dwarka Sector 6,Delhi,1100,Neurologist,"MBBS, MD - General Medicine, DM - Neurology"
685,Dr. Rajiv Anand,28,Pusa Road,Delhi,2000,Neurologist,"MBBS, DNB - Neurology, DM - Neurology"
686,Dr. Ramandeep S. Dang,48,Greater Kailash Part 1,Delhi,1500,Neurologist,"MBBS, MD - Medicine, DM - Neurology"
687,Dr. Vipin Satija,21,Ashok Vihar,Delhi,1000,Neurologist,"MBBS, MD - General Medicine, DM - Neurology"
688,Dr. P. N. Renjen,17,Sarita Vihar,Delhi,2000,Neurologist,"DM - Neurology, MBBS, MD - General Medicine"
689,Dr. Rohit Bansil,40,Pusa Road,Delhi,1500,Neurologist,"MBBS, Diplomate of American Board of Psychiatry and Neurology"
690,Dr. Sunilkumar Baranwal,44,Pitampura,Delhi,1100,Neurologist,"MD - Medicine, DM - Neurology, MBBS"
691,Dr. Amitabh Gupta,37,Vasant Kunj,Delhi,1400,Neurologist,"MBBS, DM - Neurology"
692,Dr. Col. Joy Dev Mukherji,6,Saket,Delhi,2000,Neurologist,"MBBS, MD - General Medicine, DM - Neurology"
693,Dr. Puneet Agarwal,17,Saket,Delhi,2200,Neurologist,"MBBS, DM - Neurology, MD - Medicine"
694,Dr. Himank Goyal,18,South Extension 2,Delhi,1200,Neurologist,"MBBS, MD - Neurology (USA)"
695,Dr. Shailesh Jain,34,Pitampura,Delhi,1200,Neurologist,"MBBS, MD - General Medicine, DM - Neurology"
696,Dr. Manoj Khanal,25,Pusa Road,Delhi,1200,Neurologist,"MBBS, MD - General Medicine, DM - Neurology"
697,Dr. Vinit Suri,16,Sarita Vihar,Delhi,2000,Neurologist,"MBBS, DM - Neurology, MD - General Medicine"
698,Dr. Vivek Kumar,30,Ashok Vihar Phase 1,Delhi,1200,Neurologist,"DM - Neurology, MD - Pediatrics, MD - Pathology, MBBS"
699,Dr. Rakesh Agrawal,14,Green Park,Delhi,2000,Neurologist,"MBBS, MCh - Neuro Surgery, FRCS - Neurosurgery, MS - General Surgery"
700,Dr. Anoop Kohli,21,Dwarka Sector 6,Delhi,1500,Neurologist,"MBBS, MD - General Medicine, DM - Neurology"
701,Dr. Mukesh Kumar,10,Dwarka Sector 19,Delhi,1600,Neurologist,"MBBS, MD - Medicine, DM - Neurology"
702,Dr. Charu Gauba,14,Sarita Vihar,Delhi,1500,Neurologist,"MBBS, DNB - Neurology, DNB - General Medicine"
703,Dr. Rajashekar Reddy,38,Patparganj,Delhi,2200,Neurologist,"MBBS, MD - General Medicine, DM - Neurology"
704,Dr. Lovelina Singh,40,Okhla,Delhi,800,Neurologist,"MBBS, MS - General Surgery, MCh - Neuro Surgery"
705,Dr. Mohit Goel,34,Dwarka Sector 19,Delhi,1200,Neurologist,"MBBS, DM - Neurology"
706,Dr. Chander Mohan Malhotra,24,Sarita Vihar,Delhi,1500,Neurologist,"MBBS, MD - General Medicine, DM - Neurology"
707,Dr. Dhruv Zutshi,32,Safdarjung Enclave,Delhi,900,Neurologist,"MBBS, MD - Medicine, DM - Neurology"
708,Dr. Rima khanna,11,Pusa Road,Delhi,1000,Neurologist,"MBBS, MD - General Medicine, DNB - Neurology"
709,Dr. Anand Kumar Saxena,17,Patparganj,Delhi,1400,Neurologist,"MBBS, MD - Medicine, DNB - General Medicine, DM - Neurology"
710,Dr. Rajesh Gupta,25,Shalimar Bagh,Delhi,1200,Neurologist,"MBBS, MD - Pharmacology and Therapeutics, DM - Neurology"
711,Dr. Anurag Saxena,23,Shalimar Bagh,Delhi,1100,Neurologist,"MBBS, MD - Medicine, Diplomate of American Board of Psychiatry and Neurology"
712,Dr. Bhaskar Shukla,24,Patparganj,Delhi,1200,Neurologist,"DM - Neurology, MD - Medicine, MBBS"
713,Dr. K K Jindal,38,Pusa Road,Delhi,1500,Neurologist,"MBBS, MD - General Medicine, DM - Neurology"
714,Dr. Khushbu Goel,16,Dwarka Sector 6,Delhi,1100,Neurologist,"MBBS, MD - General Medicine, DM - Neurology"
715,Dr. Vinit Banga,11,Pusa Road,Delhi,1700,Neurologist,"MBBS, MS - General Surgery, MCh - Neuro Surgery"
716,Dr. Nitin Sethi,24,Safdarjung Enclave,Delhi,2000,Neurologist,"MD - General Medicine, MBBS, DM - Neurology"
717,Dr. Kadam Nagpal,17,South Extension 2,Delhi,1200,Neurologist,"DM - Neurology, MBBS"
718,Dr. Shruti Jain,14,Rohini,Delhi,1000,Neurologist,"MBBS, MD - General Medicine, DM - Neurology"
719,Dr. Atul Prasad,38,Pusa Road,Delhi,2000,Neurologist,"MBBS, MS - General Surgery, MCh - Neuro Surgery"
720,Dr. Mukul Varma,39,Sarita Vihar,Delhi,2000,Neurologist,"MCh - Neuro Surgery, MS - General Surgery, MBBS"
721,Dr. Gautam Arora,14,Kamla Nagar,Delhi,1100,Neurologist,"MBBS, DNB - Neurosurgery"
722,Dr. L K Malhotra,37,Sheikh Sarai,Delhi,1800,Neurologist,"FRCP, DM - Neurology, MBBS"
723,Dr. Puja,11,Preet Vihar,Delhi,600,Neurologist,"MBBS, MD - General Medicine, DM - Neurology"
724,Dr. Amit Batra,23,Patparganj,Delhi,1000,Neurologist,"MBBS, MS - General Surgery, MCh - Neuro Surgery"
725,Dr. Sanjay Saxena,24,Patparganj,Delhi,1500,Neurologist,"MBBS, MD - Medicine, DM - Neurology"
726,Dr. Kumar Abhinav,10,Dwarka Sector 6,Delhi,1000,Neurologist,"MBBS, MD - Medicine, DM - Neurology"
727,Dr. Ramnaresh Soudri,6,HSR Layout,Bangalore,700,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
728,Dr. Prabhakar C Koregol,24,Malleswaram,Bangalore,700,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
729,Dr. R.S. Venkatesulu,20,Hebbal,Bangalore,1000,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology"
730,Dr. B. Ramesh,37,Bannerghatta Road,Bangalore,1000,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
731,Dr. Balaraju D,13,Jayanagar 9 Block,Bangalore,750,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
732,Dr. Chandan Saurav Mahapatro,22,Electronics City,Bangalore,700,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
733,Dr. Kumar Kenchappa,23,Whitefield,Bangalore,700,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
734,Dr. Kapil Rangan,29,Jayanagar 9 Block,Bangalore,750,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
735,Dr. Ranjan Shetty,20,Old Airport Road,Bangalore,900,Cardiologist,"DM - Cardiology, MD - Pediatrics, MBBS"
736,Dr. Roopa. R,26,HSR Layout,Bangalore,750,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
737,Dr. Jai Babu,48,Cunningham Road,Bangalore,700,Cardiologist,"MBBS, DM - Cardiology, DNB - General Medicine, MD - General Medicine"
738,Dr. Nagesh H E,8,Hebbal,Bangalore,1000,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
739,Dr. Nagamani A.C,28,Jayanagar,Bangalore,700,Cardiologist,"MBBS, DNB - Cardiothoracic Surgery"
740,Dr. S. S. Iyengar,20,JP Nagar 6 Phase,Bangalore,700,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
741,Dr. Nagaraja Moorthy,24,Banashankari 2nd Stage,Bangalore,650,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
742,Dr. Pavankumar Rasalkar,14,Hebbal,Bangalore,600,Cardiologist,"DM - Cardiology, MD - General Medicine, DNB - General Medicine, MBBS"
743,Dr. Shivanand S Patil,24,Koramangala 5 Block,Bangalore,900,Cardiologist,"MBBS, DM - Cardiology"
744,Dr. Srinivas V K,39,Jayanagar,Bangalore,800,Cardiologist,"MBBS, MS - General Surgery, MCh - Cardio Thoracic Surgery"
745,Dr. Anand Kumar M,18,Old Airport Road,Bangalore,600,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
746,Dr. Ashok Kumar P,32,Cunningham Road,Bangalore,850,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology,  FRCP"
747,Dr. Abhijit Vilas Kulkarni,21,JP Nagar,Bangalore,1000,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
748,Dr. Davinder Singh Chadha,33,Rajajinagar,Bangalore,1000,Cardiologist,"MD - Pediatrics, MBBS, DM - Cardiology"
749,Dr. Divakar Bhat,33,Nagasandra,Bangalore,950,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
750,Dr. Venkatesh T K,37,Electronics City,Bangalore,1000,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
751,Dr. Prasanna Katti,20,HSR Layout,Bangalore,740,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
752,Dr. P. Padmakumar,18,JP Nagar 7 Phase,Bangalore,700,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology"
753,Dr. Gopi Aniyathodiyil,21,Electronics City,Bangalore,900,Cardiologist,"MBBS, MD - General Medicine, FACC, Diploma in Tuberculosis and Chest Diseases (DTCD)"
754,Dr. Raghavendra Chikkatur,7,HBR Layout,Bangalore,800,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
755,Dr. Jayaranganath M,20,JP Nagar 7 Phase,Bangalore,1000,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology"
756,Dr. Devananda N.S,17,Nagasandra,Bangalore,850,Cardiologist,"MBBS, MD - General Medicine, DNB - General Medicine, DM - Cardiology"
757,Dr. Abhijit Vilas Kulkarni,20,Bannerghatta Road,Bangalore,1000,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
758,Dr. Govardhan Reddy K,19,Bannerghatta Road,Bangalore,1000,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology"
759,Dr. Sanjay Bhat,14,Whitefield,Bangalore,850,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
760,Dr. Sridhara G,17,Indiranagar,Bangalore,1000,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology"
761,Dr. Ravindranath Reddy D.R,20,Kumaraswamy Layout,Bangalore,900,Cardiologist,"MBBS, Diploma in Cardiology"
762,Dr. Jai Babu,25,Marathahalli,Bangalore,600,Cardiologist,"MD - General Medicine, DM - Cardiology, MBBS"
763,Dr. AV Praveen Kumar,13,HBR Layout,Bangalore,900,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
764,Dr. Girish Godbole,33,Millers Road,Bangalore,1000,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
765,Dr. Sunil Dwivedi,35,Millers Road,Bangalore,1000,Cardiologist,"MBBS, MRCP (UK), CCT - Cardiology"
766,Dr. Anand Shenoy,36,Old Airport Road,Bangalore,900,Cardiologist,"MBBS, MS - General Surgery, MCh - Cardio Thoracic and Vascular Surgery"
767,Dr. Nagamani A.C,39,Koramangala 5 Block,Bangalore,850,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
768,Dr. Keshav R,12,Cunningham Road,Bangalore,700,Cardiologist,"DM - Cardiology, MD - General Medicine, MBBS"
769,Dr. Divya Marina Fernandes,19,JP Nagar,Bangalore,900,Cardiologist,"MBBS, MD - Pediatrics, DNB - Paediatrics, DM - Cardiology"
770,Dr. Sridhara N,27,Rajajinagar,Bangalore,630,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
771,Dr. Sridhara G,15,Old Airport Road,Bangalore,900,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
772,Dr. Kapil Rangan,17,Old Airport Road,Bangalore,900,Cardiologist,"MBBS, DNB - General Medicine, DM - Cardiology"
773,Dr. Arun B S,17,Malleswaram,Bangalore,750,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology, DNB - Cardiology"
774,Dr. Girish Godbole,37,Sarjapur Road,Bangalore,750,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
775,Dr. Anand Shenoy,6,Bannerghatta Road,Bangalore,1000,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology"
776,Dr. K H Srinivas,24,Yeshwanthpur,Bangalore,950,Cardiologist,"MBBS, DM - Cardiology, DNB - General Medicine"
777,Dr. Divakar Bhat,33,Bannerghatta Road,Bangalore,900,Cardiologist,"MBBS, DM - Cardiology"
778,Dr. Charit Bhograj,20,HSR Layout,Bangalore,600,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
779,Dr. Dibyendu Majumdar,21,Jayanagar,Bangalore,700,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology"
780,Dr. Vikranth Veeranna,23,JP Nagar 7 Phase,Bangalore,600,Cardiologist,"MD - General Medicine, DNB - Cardiology, MBBS"
781,Dr. Vikram Kolhari,19,Seshadripuram,Bangalore,740,Cardiologist,"DM - Cardiology, MBBS"
782,Dr. Murali Krishna,24,Old Airport Road,Bangalore,900,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
783,Dr. Rajpal Singh RL,24,Bannerghatta Road,Bangalore,900,Cardiologist,"MBBS, MD - General Medicine, Diploma in Cardiology"
784,Dr. Rangaraja,36,Cunningham Road,Bangalore,700,Cardiologist,"MBBS, DNB - General Medicine, MRCP (UK), DNB - Cardiology"
785,Dr. Kapil Rangan,20,Kundalahalli,Bangalore,850,Cardiologist,"MBBS, DNB - General Medicine, DNB - Cardiology"
786,Dr. Charit Bhograj,21,Millers Road,Bangalore,1000,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology"
787,Dr. Dibyendu Majumdar,23,Sarjapur Road,Bangalore,750,Cardiologist,"MBBS, DNB - General Medicine, DNB - Cardiology"
788,Dr. Prashant Ramdas Wankhade,5,Kundalahalli,Bangalore,800,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
789,Dr. Vikranth Veeranna,21,Rajarajeshwarinagar,Bangalore,850,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
790,Dr. Gnanadev N C,21,Electronics City,Bangalore,700,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
791,Dr. Sudeep K N,13,Seshadripuram,Bangalore,500,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
792,Dr. Suraj Narasimhan A Rama,14,Sarjapur Road,Bangalore,900,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
793,Dr. Darshan K,12,Sarjapur Road,Bangalore,1550,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
794,Dr. Dimpu Edwin,5,JP Nagar,Bangalore,900,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
795,Dr. K. S. S. Bhat,43,Old Airport Road,Bangalore,900,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology"
796,Dr. Venkatesh S,29,JP Nagar,Bangalore,1050,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
797,Dr. Srikanth K V,25,Hosur Road,Bangalore,1000,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology"
798,Dr. Nagaraja Moorthy,20,Hulimavu,Bangalore,700,Cardiologist,"MBBS, MS - General Surgery, MCh - Cardio Thoracic Surgery"
799,Dr. Arun B S,11,Electronics City,Bangalore,800,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
800,Dr. Pradeep Kumar D,16,Hebbal,Bangalore,1000,Cardiologist,"MBBS, DM - Cardiology, MD - General Medicine"
801,Dr. Ravindranath Reddy D.R,17,Kengeri,Bangalore,800,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
802,Dr. Shilpa Jayaprakash,54,Bannerghatta Road,Bangalore,900,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
803,Dr. Jagadeesh H V,49,HBR Layout,Bangalore,500,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
804,Dr. Mallesh Kariyappa,32,Bannerghatta Road,Bangalore,900,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
805,Dr. SRINIVAS B C,22,Mahadevapura,Bangalore,700,Cardiologist,"MD - Medicine, DM - Cardiology, MBBS"
806,Dr. Sathwik Raj V A,19,Mahadevapura,Bangalore,700,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology"
807,Dr. Prashant Ramdas Wankhade,35,Sampangiramnagar,Bangalore,700,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
808,Dr. Gnanadev N C,11,Sampangiramnagar,Bangalore,800,Cardiologist,"MBBS, DNB - General Medicine, DNB - Cardiology"
809,Dr. Davinder Singh Chadha,18,Malleswaram,Bangalore,600,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
810,Dr. Murali Krishna,46,Koramangala 5 Block,Bangalore,900,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
811,Dr. Mahadev Swamy B,23,Koramangala 5 Block,Bangalore,1000,Cardiologist,"MD - General Medicine, DM - Cardiology, MBBS"
812,Dr. SRINIVAS B C,27,Jayanagar,Bangalore,550,Cardiologist,"MBBS, MS - General Surgery, MCh - Cardio Thoracic and Vascular Surgery"
813,Dr. Mallesh Kariyappa,26,Sarjapur Road,Bangalore,500,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
814,Dr. Praveen Kumar,14,Sarjapur Road,Bangalore,700,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology"
815,Dr. Sandesh Prabhu,18,Millers Road,Bangalore,600,Cardiologist,"MBBS, PhD - Cardiology, MRCP (UK)"
816,Dr. K H Srinivas,34,Electronics City,Bangalore,740,Cardiologist,"MD - General Medicine, DNB - Cardiology, MBBS"
817,Dr. Sathwik Raj V A,11,Hebbal,Bangalore,850,Cardiologist,"DM - Cardiology, MD - General Medicine, MBBS"
818,Dr. Rockey Katheria,7,Kengeri,Bangalore,800,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
819,Dr. Ameet Oswal,11,Bannerghatta Road,Bangalore,700,Cardiologist,"DM - Cardiology, MD - General Medicine, MBBS"
820,Dr. Naveen.A.J,19,Sarjapur Road,Bangalore,850,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
821,Dr. Vinodh Kumar K,15,Millers Road,Bangalore,600,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology, MNAMS - Cardiology"
822,Dr. Praneeth SuryaDevara,8,Kumaraswamy Layout,Bangalore,900,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
823,Dr. Soorampally Vijay,12,Mahadevapura,Bangalore,800,Cardiologist,"MBBS, MS - General Surgery, MCh - Cardio Thoracic Surgery"
824,Dr. Santosh V Chikkodi,14,Sampangiramnagar,Bangalore,750,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology, Fellowship In Interventional  Cardiology"
825,Dr. Girish B Navasundi,5,Jayanagar,Bangalore,900,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
826,Dr. Anju Antony,10,Marathahalli,Bangalore,0,Dentist,"BDS, Post Graduate Diploma In Aesthetic & Restorative Dentistry"
827,Dr. Vivek Aithal,9,BTM Layout,Bangalore,500,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery"
828,Dr. Shashi Kumar B,8,Kogilu,Bangalore,300,Dentist,"BDS, MDS - Orthodontics"
829,Dr. Rajanikanth B R,24,Jeevanbhimanagar,Bangalore,500,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics"
830,Dr. Veena Sagar,9,JP Nagar 7 Phase,Bangalore,500,Dentist,"BDS, MDS - Oral Pathology and Oral Microbiology"
831,Dr. Swapna F UdayaKumar,16,KR Puram,Bangalore,400,Dentist,"MDS - Prosthodontist And Crown Bridge, BDS"
832,Dr. Veena Krishnan,10,Akshaya nagar,Bangalore,500,Dentist,BDS
833,Dr. Tijo George,10,Belathur,Bangalore,0,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry"
834,Dr. Shilpy Kumari,14,Bommanahalli,Bangalore,300,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge"
835,Dr. Shina Kurian Rao,14,Padmanabhanagar,Bangalore,500,Dentist,BDS
836,Dr. Rekha B.M,24,Padmanabhanagar,Bangalore,300,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery"
837,Dr. Jayalakshmi K B,37,Kogilu,Bangalore,500,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery"
838,Dr. Sai Krishna,5,Horamavu,Bangalore,300,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics"
839,Dr. Suraj Naslapur,12,HSR Layout,Bangalore,300,Dentist,"MDS - Paedodontics And Preventive Dentistry, BDS"
840,Dr. Diana Rajan,5,KR Puram,Bangalore,500,Dentist,"BDS, MDS - Periodontology and Oral Implantology"
841,Dr. Shivani Venkatesh,12,Sadashivanagar,Bangalore,500,Dentist,BDS
842,Dr. John Koshy,9,Marathahalli,Bangalore,200,Dentist,"BDS, MDS - Public Health Dentistry"
843,Dr. Kavya,9,Marathahalli,Bangalore,300,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge"
844,Dr. Shivaprasad Gaonkar,15,Sarjapur Road,Bangalore,200,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry"
845,Dr. Sucheta Kulkarni,19,Kanakpura Road,Bangalore,400,Dentist,BDS
846,Dr. Tenzin Lhadon,7,Harlur,Bangalore,500,Dentist,BDS
